epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,2538.24,0.33348,0.22171,0.90901,0.99934,1,0.995,0.9913,0.16285,0.11819,0.7561,0.000775822,0.000775822,0.000775822
110,2561.72,0.32559,0.22588,0.90493,0.99934,1,0.995,0.99163,0.16971,0.12447,0.75723,0.00076757,0.00076757,0.00076757
111,2585.15,0.31694,0.2181,0.90026,0.9994,1,0.995,0.98964,0.18577,0.12736,0.76116,0.000759318,0.000759318,0.000759318
112,2608.6,0.31851,0.21658,0.88473,0.99937,1,0.995,0.99218,0.17273,0.12286,0.75926,0.000751067,0.000751067,0.000751067
113,2631.95,0.31784,0.22393,0.89744,0.99934,1,0.995,0.99164,0.16648,0.12065,0.75419,0.000742815,0.000742815,0.000742815
114,2655.3,0.31995,0.22306,0.89941,0.9993,1,0.995,0.99029,0.16981,0.11862,0.755,0.000734564,0.000734564,0.000734564
115,2678.73,0.31896,0.21622,0.90186,0.99937,1,0.995,0.98946,0.1758,0.12312,0.75865,0.000726312,0.000726312,0.000726312
116,2702.2,0.32022,0.21836,0.89797,0.99936,1,0.995,0.99247,0.17141,0.11907,0.75469,0.00071806,0.00071806,0.00071806
117,2725.53,0.31892,0.21467,0.89468,0.9994,1,0.995,0.99183,0.16648,0.11676,0.75605,0.000709809,0.000709809,0.000709809
118,2748.83,0.31518,0.2141,0.89999,0.99939,1,0.995,0.99221,0.16125,0.11259,0.75614,0.000701557,0.000701557,0.000701557
119,2772.24,0.30853,0.21067,0.89575,0.9994,1,0.995,0.9923,0.17142,0.12012,0.75755,0.000693305,0.000693305,0.000693305
120,2795.68,0.32719,0.2132,0.90857,0.99938,1,0.995,0.99242,0.17376,0.1126,0.75974,0.000685054,0.000685054,0.000685054
121,2819.19,0.30922,0.21199,0.89049,0.99939,1,0.995,0.99227,0.16073,0.10978,0.75362,0.000676802,0.000676802,0.000676802
122,2842.67,0.32137,0.2216,0.91076,0.99937,1,0.995,0.99154,0.16771,0.11623,0.75785,0.00066855,0.00066855,0.00066855
123,2866.16,0.30778,0.21411,0.88909,0.99929,1,0.995,0.98946,0.17747,0.12303,0.76021,0.000660299,0.000660299,0.000660299
124,2889.65,0.30178,0.20753,0.89446,0.9994,1,0.995,0.99134,0.16552,0.11469,0.7564,0.000652047,0.000652047,0.000652047
125,2912.92,0.31612,0.2152,0.90145,0.99938,1,0.995,0.99155,0.16183,0.12057,0.75498,0.000643795,0.000643795,0.000643795
126,2936.24,0.29757,0.20699,0.89231,0.99938,1,0.995,0.99213,0.16197,0.11987,0.75684,0.000635544,0.000635544,0.000635544
127,2959.57,0.32398,0.22367,0.90317,0.99937,1,0.995,0.98829,0.16775,0.11514,0.75938,0.000627292,0.000627292,0.000627292
128,2983,0.29643,0.20918,0.89042,0.99941,1,0.995,0.99194,0.1636,0.11364,0.75504,0.00061904,0.00061904,0.00061904
129,3006.42,0.30496,0.20715,0.89919,0.99938,1,0.995,0.99202,0.16175,0.11257,0.75669,0.000610789,0.000610789,0.000610789
130,3029.77,0.29433,0.20261,0.88407,0.99941,1,0.995,0.99413,0.15339,0.10771,0.75186,0.000602537,0.000602537,0.000602537
131,3053.21,0.29905,0.19917,0.88833,0.9994,1,0.995,0.99071,0.15962,0.11102,0.75453,0.000594286,0.000594286,0.000594286
132,3076.63,0.30229,0.20669,0.88528,0.99941,1,0.995,0.99126,0.15183,0.1083,0.75346,0.000586034,0.000586034,0.000586034
133,3100.09,0.30971,0.21095,0.89247,0.99938,1,0.995,0.98998,0.15321,0.11799,0.75512,0.000577782,0.000577782,0.000577782
134,3123.47,0.30438,0.20919,0.88259,0.99934,1,0.995,0.98881,0.16532,0.11518,0.75444,0.000569531,0.000569531,0.000569531
